movie_name,year,time,rating,metascore,votes,gross,description,Director,Stars,Image URLs
1. Spendensucht (2008),Short,6.9,Rate,Add a Plot,"Director: Lutz Heineking | Stars: Jasin Challah, Esther Roling",Votes: 7,,,,https://m.media-amazon.com/images/S/sash/i-t32yvKixg10fG.png
2. Old Men in New Cars: In China They Eat Dogs II (2002),"95 min | Action, Comedy, Crime",6.7,Rate,"Fresh out of a Danish prison, Harald bosses his old gang around, into visiting his hospitalized foster dad, who wants to see his bio son before dying. The son's in a Swedish prison. Then there's a money matter - robbing a bank.","Director: Lasse Spang Olsen | Stars: Kim Bodnia, Torkel Petersson, Tomas Villum Jensen, Nikolaj Lie Kaas","Votes: 9,553",,,,"https://m.media-amazon.com/images/M/MV5BMTY0MDc5NzYxOV5BMl5BanBnXkFtZTcwNjAxODAzMQ@@._V1_UY209_CR3,0,140,209_AL_.jpg"
3. The Man Who Wouldn't Die (1975),"83 min | Mystery, Thriller",6,Rate,A boat captain in the Caribbean becomes part of a bond theft/murder cover up.,"Director: Robert Arkless | Stars: Dorothy Malone, Keenan Wynn, Aldo Ray, Alex Sheafe",Votes: 71,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
4. Tales from the Crypt: Demon Knight (1995),"18 | 92 min | Action, Fantasy, Horror",6.7,Rate,48 Metascore,High-level demons collect low-level demons as warriors in attempt to obtain a key containing the blood of Christ. The key is guarded by immortal warriors called Demon Knights.,"Director: Ernest R. Dickerson | Stars: Billy Zane, William Sadler, Jada Pinkett Smith, Brenda Bakke","Votes: 25,838 | Gross: $21.09M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
5. De trei ori Bucuresti (1967),96 min | Drama,7,Rate,"A Romanian film from 1968, consisting of three distinct film stories whose action takes place in Bucharest. The three stories are written and made by three different directors.","Directors: Mihai Iacob, Horea Popescu, Ion Popescu-Gopo | Stars: Ioana Casetti, Dana Comnea, Mircea Constantinescu, Ion Dichiseanu",Votes: 50,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
6. Ein Mann geht durch die Wand (1959),"99 min | Comedy, Fantasy, Romance",6.9,Rate,Story of a man who out of frustration discovers that he has the ability to walk through walls.,"Director: Ladislao Vajda | Stars: Heinz Rühmann, Rudolf Vogel, Hubert von Meyerinck, Peter Vogel",Votes: 323,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
7. Once Upon a Scoundrel (1973),99 min | Comedy,5.7,Rate,"Comic genius Zero Mostel hilariously portrays Senor Carlos de Refugio, a wealthy landowner known for his roguish and selfish acts.","Director: George Schaefer | Stars: Zero Mostel, Katy Jurado, A Martinez, Pancho Córdova",Votes: 110,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
8. Im Süden meiner Seele (1996),Rate,Add a Plot,"Director: Friedrich Schuller | Stars: Ion Besoiu, Klara Bölöni, Emilia Dobrin, Ion Gheorghescu",,,,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
9. Extraction (2012),"15 | 89 min | Drama, Sci-Fi",6.4,Rate,"A scientist who has invented a technology to construct virtual realities from people's memories finds himself in a perilous situation, after he reluctantly allows it to be used for a purpose he never imagined.","Director: Nir Paniry | Stars: Sasha Roiz, Jenny Mollen, Dominic Bogart, Richard Riehle","Votes: 12,438",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
10. Tomorrow You're Gone (2012),15 | 93 min | Thriller,3.6,Rate,19 Metascore,"Charlie Rankin, recently released from prison, seeks vengeance for his jail-house mentor William ""The Buddha"" Pettigrew. Along the way, he meets the ethereal, yet streetwise, Florence Jane. They embark on a unlikely road trip, careening towards an unlikely redemption and uncertain resolution.","Director: David Jacobson | Stars: Michelle Monaghan, Willem Dafoe, Stephen Dorff, Robert LaSardo","Votes: 1,810",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
11. Sonja Henie: Queen of the Ice (1995 TV Movie),53 min | Documentary,7.3,Rate,"Narrated by Cliff Robertson The daughter of a fur wholesaler, Sonja Henie received her first pair of ice skates when she was six. Eight years later, she was the Norwegian Skating Champion. ... See full summary »","Director: Edvard Hambro | Stars: Sonja Henie, Michael Kirby, Cesar Romero, Geary Steffin",Votes: 39,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
12. Deranged (2012),"109 min | Drama, Sci-Fi, Thriller",6.3,Rate,"People binge eat and suffer from extreme thirst, which leads them to go crazy for water. They cannot control themselves because they are brainwashed by a parasite.","Director: Jeong-woo Park | Stars: Myung-Min Kim, Moon Jeong-Hee, Dong-wan Kim, Lee Hanee","Votes: 3,092",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
13. A Dangerous Man (1992 TV Movie),"107 min | Adventure, Biography, Drama",6.8,Rate,Lawrence and Feisal go to argue for Arab independence at the 1919 Paris Peace Conference.,"Director: Christopher Menaul | Stars: Ralph Fiennes, Alexander Siddig, Denis Quilley, Nicholas Jones",Votes: 698,,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
14. Godzilla vs. Megalon (1973),"12 | 81 min | Action, Adventure, Family",4.8,Rate,"An inventor creates a humanoid robot named Jet Jaguar that is seized by the undersea nation of Seatopia. Using Jet Jaguar as a guide, the Seatopians send Megalon as vengeance for the nuclear tests that have devastated their society.","Directors: Jun Fukuda, Yoshimitsu Banno, Ishirô Honda | Stars: Katsuhiko Sasaki, Hiroyuki Kawase, Yutaka Hayashi, Robert Dunham","Votes: 6,537",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
15. The Poison Tree (2012),15 | 120 min | Drama,5.8,Rate,A haunted woman will go to any lengths necessary to protect her family and the secrets she keeps from them.,"Stars: MyAnna Buring, Matthew Goode, Ophelia Lovibond, Hebe Johnson","Votes: 3,180",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
16. 1600 Penn (2012–2013),22 min | Comedy,5.7,Rate,"President Gilcrest and his trophy wife are living in the White House, with their overachieving daughter sidetracked by pregnancy, a couch potato hopeless son, a genius young son, and an odd middle school girl.","Stars: Josh Gad, Jenna Elfman, Martha MacIsaac, André Holland","Votes: 3,947",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
17. The Impossible (2012),"12A | 114 min | Drama, History, Thriller",7.5,Rate,73 Metascore,The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,"Director: J.A. Bayona | Stars: Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast","Votes: 236,398 | Gross: $19.02M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
18. Deception (I) (2013),"60 min | Crime, Drama, Mystery",6.6,Rate,"A female detective returns undercover to the wealthy family she grew up in--as the maid's daughter, to solve the murder of the notorious heiress who was once her closest friend.","Stars: Meagan Good, Laz Alonso, Tate Donovan, Wes Brown","Votes: 3,829",,,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
19. Dredd (2012),"18 | 95 min | Action, Crime, Sci-Fi",7.1,Rate,60 Metascore,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.","Director: Pete Travis | Stars: Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood","Votes: 288,944 | Gross: $13.41M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
20. The Chumscrubber (2005),"15 | 108 min | Comedy, Drama",6.9,Rate,41 Metascore,A darkly satiric story about life crumbling in the midst of a seemingly idyllic suburbia.,"Director: Arie Posin | Stars: Jamie Bell, Allison Janney, Rory Culkin, Glenn Close","Votes: 18,998 | Gross: $0.05M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
21. Upside Down (I) (2012),"12 | 109 min | Drama, Fantasy, Romance",6.3,Rate,45 Metascore,"Adam and Eden fell in love as teens despite the fact that they live on twinned worlds with gravities that pull in opposite directions. Ten years after a forced separation, Adam sets out on a dangerous quest to reconnect with his love.","Director: Juan Solanas | Stars: Jim Sturgess, Kirsten Dunst, Timothy Spall, Blu Mankuma","Votes: 73,409 | Gross: $0.10M",,,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
