movie_name,Year,Age,Duration(minutes),Ratings,Gross Profit($M),Votes
De trei ori Bucuresti,1967,15,96,7,2.46,50
Ein Mann geht durch die Wand,1959,15,99,6.9,2.46,323
Once Upon a Scoundrel,1973,15,99,5.7,2.46,110
Extraction,2012,15,89,6.4,2.46,"12,438"
Tomorrow You're Gone,2012,15,93,3.6,2.46,"1,810"
Sonja Henie: Queen of the Ice,1995,15,53,7.3,2.46,39
Deranged,2012,15,109,6.3,2.46,"3,092"
A Dangerous Man,1992,15,107,6.8,2.46,698
Godzilla vs. Megalon,1973,12,81,4.8,2.46,"6,537"
The Poison Tree,2012,15,120,5.8,2.46,"3,180"
1600 Penn,2013,15,22,5.7,2.46,"3,947"
The Impossible,2012,12,114,7.5,19.02,"236,398"
Deception,2013,15,60,6.6,2.46,"3,829"
Dredd,2012,18,95,7.1,13.41,"288,944"
The Chumscrubber,2005,15,108,6.9,0.05,"18,998"
Upside Down,2012,12,109,6.3,0.1,"73,409"
13 Steps Down,2012,15,45,5.9,2.46,"2,598"
The Perks of Being a Wallflower,2012,12,103,7.9,17.74,"537,506"
Beasts of the Southern Wild,2012,12,93,7.2,12.8,"84,551"
The Collection,2012,18,82,6.1,12.84,"53,124"
The Baytown Outlaws,2012,15,98,6.3,2.46,"15,684"
King Kong vs. Godzilla,1963,18,97,5.7,2.73,"10,883"
Ill Manors,2012,15,121,7.1,2.46,"11,158"
Mothra vs. Godzilla,1964,15,89,6.5,2.46,"9,653"
The Last Enemy,2008,12,60,7,2.46,"2,642"
Gamera: The Giant Monster,1965,15,78,5.2,2.46,"3,660"
Kon-Tiki,2012,15,118,7.1,1.52,"51,259"
Last Tango in Halifax,2020,15,60,8.4,2.46,"8,399"
His Way,2011,15,87,6.8,2.46,432
My Way,2012,12,148,6.9,2.46,"3,126"
Home Alone 3,1997,15,102,4.6,2.46,
The Host,2006,18,120,7.1,2.2,"129,964"
Resident Evil: Retribution,2012,15,95,5.3,42.35,"148,014"
Pitch Perfect,2012,15,112,7.1,65,"324,379"
Gerry,2002,15,103,6,0.24,"19,499"
Clubbed,2008,12,95,6.7,2.46,"3,728"
In Memory of Me,2006,12,22,8.2,2.46,71
Skyfall,2012,15,143,7.8,304.36,"720,258"
Hitchcock,2012,12,98,6.8,6.01,"78,443"
Flight,2012,15,138,7.3,93.77,"370,150"
Lincoln,2012,15,150,7.3,182.21,"269,024"
The Imposter,2012,12,99,7.5,0.89,"49,781"
Lourdes,2009,15,96,6.9,0.01,"3,660"
Zero Dark Thirty,2012,15,157,7.4,95.72,"313,985"
